Lab Report Date,Health District,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
,Chesapeake,224,32,14.285714286,99.115044248,32,226
3/4/2020,Chesapeake,1,0,0,100,0,1
3/11/2020,Chesapeake,3,0,0,100,0,3
3/12/2020,Chesapeake,4,0,0,100,0,4
3/13/2020,Chesapeake,1,0,0,100,0,1
3/14/2020,Chesapeake,3,0,0,100,0,3
3/16/2020,Chesapeake,8,0,0,100,0,8
3/18/2020,Chesapeake,15,0,0,100,0,15
3/19/2020,Chesapeake,23,1,4.347826087,100,1,23
3/20/2020,Chesapeake,14,0,0,100,0,14
3/21/2020,Chesapeake,78,0,0,100,0,78
3/22/2020,Chesapeake,18,1,5.555555556,100,1,18
3/23/2020,Chesapeake,23,0,0,100,0,23
3/24/2020,Chesapeake,29,2,6.896551724,100,2,29
3/25/2020,Chesapeake,29,1,3.448275862,100,1,29
3/26/2020,Chesapeake,24,5,20.833333333,100,5,24
3/27/2020,Chesapeake,59,4,6.779661017,100,4,59
3/28/2020,Chesapeake,25,7,28,100,7,25
3/29/2020,Chesapeake,40,5,12.5,100,5,40
3/30/2020,Chesapeake,42,4,9.523809524,100,4,42
3/31/2020,Chesapeake,40,10,25,100,10,40
4/1/2020,Chesapeake,70,15,21.428571429,100,15,70
4/2/2020,Chesapeake,57,12,21.052631579,100,12,57
4/3/2020,Chesapeake,90,10,11.111111111,100,10,90
4/4/2020,Chesapeake,67,10,14.925373134,100,10,67
4/5/2020,Chesapeake,92,8,8.695652174,100,8,92
4/6/2020,Chesapeake,62,15,24.193548387,100,15,62
4/7/2020,Chesapeake,67,6,8.955223881,100,6,67
4/8/2020,Chesapeake,49,9,18.367346939,100,9,49
4/9/2020,Chesapeake,36,4,11.111111111,100,4,36
4/10/2020,Chesapeake,39,4,10.256410256,100,4,39
4/11/2020,Chesapeake,45,4,8.888888889,100,4,45
4/12/2020,Chesapeake,76,12,15.789473684,100,12,76
4/13/2020,Chesapeake,37,4,10.810810811,100,4,37
4/14/2020,Chesapeake,37,6,16.216216216,100,6,37
4/15/2020,Chesapeake,49,3,6.122448980,100,3,49
4/16/2020,Chesapeake,50,5,10,100,5,50
4/17/2020,Chesapeake,52,10,19.230769231,100,10,52
4/18/2020,Chesapeake,54,8,14.814814815,100,8,54
4/19/2020,Chesapeake,49,13,26.530612245,100,13,49
4/20/2020,Chesapeake,23,6,26.086956522,100,6,23
4/21/2020,Chesapeake,26,7,26.923076923,100,7,26
4/22/2020,Chesapeake,107,8,7.476635514,100,8,107
4/23/2020,Chesapeake,91,7,7.692307692,100,7,91
4/24/2020,Chesapeake,100,15,15,94.339622642,15,106
4/25/2020,Chesapeake,86,11,12.790697674,98.850574713,11,87
4/26/2020,Chesapeake,52,4,7.692307692,98.113207547,4,53
4/27/2020,Chesapeake,68,0,0,100,0,68
4/28/2020,Chesapeake,138,17,12.318840580,98.571428571,17,140
4/29/2020,Chesapeake,157,28,17.834394904,95.151515152,28,165
4/30/2020,Chesapeake,135,17,12.592592593,93.103448276,18,145
5/1/2020,Chesapeake,191,21,10.994764398,91.826923077,21,208
5/2/2020,Chesapeake,90,5,5.555555556,84.112149533,5,107
5/3/2020,Chesapeake,76,9,11.842105263,90.476190476,9,84
5/4/2020,Chesapeake,75,10,13.333333333,97.402597403,10,77
5/5/2020,Chesapeake,243,26,10.699588477,95.669291339,26,254
5/6/2020,Chesapeake,335,17,5.074626866,95.714285714,18,350
5/7/2020,Chesapeake,170,13,7.647058824,89.005235602,13,191
5/8/2020,Chesapeake,178,7,3.932584270,88.557213930,9,201
5/9/2020,Chesapeake,125,11,8.8,82.236842105,12,152
5/10/2020,Chesapeake,131,7,5.343511450,94.244604317,7,139
5/11/2020,Chesapeake,100,5,5,96.153846154,5,104
5/12/2020,Chesapeake,240,16,6.666666667,93.75,16,256
5/13/2020,Chesapeake,202,15,7.425742574,93.518518519,15,216
5/14/2020,Chesapeake,258,9,3.488372093,86.287625418,10,299
5/15/2020,Chesapeake,273,11,4.029304029,90.397350993,11,302
5/16/2020,Chesapeake,366,19,5.191256831,92.191435768,19,397
5/17/2020,Chesapeake,167,8,4.790419162,90.270270270,8,185
5/18/2020,Chesapeake,72,6,8.333333333,100,6,72
5/19/2020,Chesapeake,236,12,5.084745763,93.280632411,12,253
5/20/2020,Chesapeake,243,15,6.172839506,85.263157895,16,285
5/21/2020,Chesapeake,135,15,11.111111111,81.325301205,17,166
5/22/2020,Chesapeake,215,10,4.651162791,88.114754098,10,244
5/23/2020,Chesapeake,239,16,6.694560669,87.545787546,16,273
5/24/2020,Chesapeake,213,11,5.164319249,92.608695652,13,230
5/25/2020,Chesapeake,68,13,19.117647059,100,13,68
5/26/2020,Chesapeake,115,12,10.434782609,100,12,115
5/27/2020,Chesapeake,285,23,8.070175439,94.059405941,24,303
5/28/2020,Chesapeake,277,21,7.581227437,89.354838710,23,310
5/29/2020,Chesapeake,523,18,3.441682600,91.915641476,21,569
5/30/2020,Chesapeake,221,10,4.524886878,83.082706767,13,266
5/31/2020,Chesapeake,158,9,5.696202532,83.157894737,12,190
6/1/2020,Chesapeake,92,9,9.782608696,100,9,92
6/2/2020,Chesapeake,267,12,4.494382022,96.043165468,12,278
6/3/2020,Chesapeake,248,13,5.241935484,91.512915129,13,271
6/4/2020,Chesapeake,229,16,6.986899563,84.191176471,18,272
6/5/2020,Chesapeake,220,7,3.181818182,90.163934426,7,244
6/6/2020,Chesapeake,496,14,2.822580645,94.837476099,14,523
6/7/2020,Chesapeake,357,15,4.201680672,96.486486486,17,370
6/8/2020,Chesapeake,453,14,3.090507726,99.560439560,14,455
6/9/2020,Chesapeake,527,11,2.087286528,98.320895522,11,536
6/10/2020,Chesapeake,1217,20,1.643385374,97.829581994,20,1244
6/11/2020,Chesapeake,581,16,2.753872633,97.811447811,16,594
6/12/2020,Chesapeake,206,14,6.796116505,88.034188034,14,234
6/13/2020,Chesapeake,321,21,6.542056075,89.415041783,21,359
6/14/2020,Chesapeake,151,12,7.947019868,91.515151515,14,165
6/15/2020,Chesapeake,197,3,1.522842640,98.994974874,3,199
6/16/2020,Chesapeake,268,17,6.343283582,95.035460993,17,282
6/17/2020,Chesapeake,378,29,7.671957672,92.195121951,29,410
6/18/2020,Chesapeake,249,11,4.417670683,92.565055762,11,269
6/19/2020,Chesapeake,132,8,6.060606061,79.041916168,9,167
6/20/2020,Chesapeake,637,54,8.477237049,98,54,650
6/21/2020,Chesapeake,348,15,4.310344828,96.666666667,16,360
6/22/2020,Chesapeake,168,7,4.166666667,96.551724138,7,174
6/23/2020,Chesapeake,875,31,3.542857143,98.425196850,31,889
6/24/2020,Chesapeake,321,18,5.607476636,90.422535211,21,355
6/25/2020,Chesapeake,263,18,6.844106464,94.945848375,18,277
6/26/2020,Chesapeake,220,10,4.545454545,90.163934426,10,244
6/27/2020,Chesapeake,337,26,7.715133531,91.576086957,26,368
6/28/2020,Chesapeake,404,30,7.425742574,98.296836983,31,411
6/29/2020,Chesapeake,183,15,8.196721311,98.918918919,15,185
6/30/2020,Chesapeake,338,30,8.875739645,87.792207792,32,385
7/1/2020,Chesapeake,349,51,14.613180516,90.414507772,54,386
7/2/2020,Chesapeake,339,38,11.209439528,85.822784810,39,395
7/3/2020,Chesapeake,229,21,9.170305677,90.873015873,22,252
7/4/2020,Chesapeake,311,31,9.967845659,96.284829721,31,323
7/5/2020,Chesapeake,312,33,10.576923077,99.047619048,33,315
7/6/2020,Chesapeake,174,27,15.517241379,100,27,174
7/7/2020,Chesapeake,415,55,13.253012048,93.468468468,57,444
7/8/2020,Chesapeake,590,77,13.050847458,89.802130898,81,657
7/9/2020,Chesapeake,407,52,12.776412776,89.059080963,55,457
7/10/2020,Chesapeake,386,63,16.321243523,84.835164835,63,455
7/11/2020,Chesapeake,559,99,17.710196780,96.213425129,99,581
7/12/2020,Chesapeake,615,72,11.707317073,98.874598071,73,622
7/13/2020,Chesapeake,472,70,14.830508475,99.578059072,70,474
7/14/2020,Chesapeake,623,74,11.878009631,94.680851064,76,658
7/15/2020,Chesapeake,495,58,11.717171717,87.610619469,61,565
7/16/2020,Chesapeake,561,68,12.121212121,95.733788396,68,586
7/17/2020,Chesapeake,686,91,13.265306122,95.013850416,100,722
7/18/2020,Chesapeake,542,83,15.313653137,96.269982238,85,563
7/19/2020,Chesapeake,496,48,9.677419355,97.830374753,50,507
7/20/2020,Chesapeake,507,72,14.201183432,98.065764023,73,517
7/21/2020,Chesapeake,634,92,14.511041009,97.688751926,93,649
7/22/2020,Chesapeake,730,111,15.205479452,97.074468085,112,752
7/23/2020,Chesapeake,658,80,12.158054711,96.622613803,81,681
7/24/2020,Chesapeake,595,76,12.773109244,95.2,77,625
7/25/2020,Chesapeake,539,86,15.955473098,96.25,89,560
7/26/2020,Chesapeake,541,79,14.602587800,94.580419580,81,572
7/27/2020,Chesapeake,346,52,15.028901734,99.711815562,52,347
7/28/2020,Chesapeake,368,42,11.413043478,96.335078534,42,382
7/29/2020,Chesapeake,749,110,14.686248331,96.396396396,114,777
7/30/2020,Chesapeake,581,77,13.253012048,96.033057851,78,605
7/31/2020,Chesapeake,708,119,16.807909605,97.790055249,121,724
8/1/2020,Chesapeake,544,66,12.132352941,97.491039427,67,558
8/2/2020,Chesapeake,409,54,13.202933985,97.149643705,55,421
8/3/2020,Chesapeake,337,43,12.759643917,100,43,337
8/4/2020,Chesapeake,249,27,10.843373494,98.031496063,27,254
8/5/2020,Chesapeake,528,64,12.121212121,93.286219081,69,566
8/6/2020,Chesapeake,515,86,16.699029126,97.908745247,86,526
8/7/2020,Chesapeake,552,53,9.601449275,97.183098592,55,568
8/8/2020,Chesapeake,519,66,12.716763006,96.111111111,68,540
8/9/2020,Chesapeake,428,62,14.485981308,96.832579186,68,442
8/10/2020,Chesapeake,377,41,10.875331565,99.472295515,41,379
8/11/2020,Chesapeake,518,64,12.355212355,95.395948435,68,543
8/12/2020,Chesapeake,509,61,11.984282908,96.037735849,62,530
8/13/2020,Chesapeake,471,40,8.492569002,97.113402062,41,485
8/14/2020,Chesapeake,572,61,10.664335664,96.949152542,62,590
8/15/2020,Chesapeake,372,55,14.784946237,94.656488550,58,393
8/16/2020,Chesapeake,311,21,6.752411576,96.583850932,21,322
8/17/2020,Chesapeake,405,52,12.839506173,99.753694581,52,406
8/18/2020,Chesapeake,249,34,13.654618474,93.962264151,34,265
8/19/2020,Chesapeake,489,52,10.633946830,96.831683168,54,505
8/20/2020,Chesapeake,423,44,10.401891253,96.796338673,44,437
8/21/2020,Chesapeake,315,43,13.650793651,96.036585366,43,328
8/22/2020,Chesapeake,431,53,12.296983759,95.143487859,55,453
