Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
Richmond,1/26/2020,2,0,0,100,0,2
Arlington,2/2/2020,1,0,0,100,0,1
Fairfax,2/2/2020,1,0,0,100,0,1
Richmond,2/5/2020,1,0,0,100,0,1
Fairfax,2/9/2020,1,0,0,100,0,1
Out of State,2/11/2020,1,0,0,100,0,1
Fairfax,2/16/2020,1,1,100,100,1,1
Richmond,2/28/2020,2,0,0,100,0,2
Loudoun,3/3/2020,2,1,50,100,1,2
Alleghany,3/4/2020,1,0,0,100,0,1
Chesapeake,3/4/2020,1,0,0,100,0,1
Chesterfield,3/4/2020,1,0,0,100,0,1
Henrico,3/4/2020,1,0,0,100,0,1
Virginia Beach,3/4/2020,1,0,0,100,0,1
Cumberland Plateau,3/6/2020,1,0,0,100,0,1
Arlington,3/9/2020,1,0,0,100,0,1
Central Virginia,3/9/2020,2,0,0,100,0,2
Chesterfield,3/9/2020,1,0,0,100,0,1
Henrico,3/9/2020,1,0,0,100,0,1
New River,3/9/2020,1,0,0,100,0,1
Portsmouth,3/9/2020,1,0,0,100,0,1
Richmond,3/9/2020,1,0,0,100,0,1
Thomas Jefferson,3/9/2020,2,0,0,100,0,2
Fairfax,3/10/2020,3,0,0,100,0,3
Henrico,3/10/2020,1,0,0,100,0,1
New River,3/10/2020,1,0,0,100,0,1
Norfolk,3/10/2020,1,0,0,100,0,1
Peninsula,3/10/2020,1,0,0,100,0,1
Prince William,3/10/2020,1,0,0,100,0,1
Rappahannock,3/10/2020,1,0,0,100,0,1
Rappahannock Rapidan,3/10/2020,1,0,0,100,0,1
Richmond,3/10/2020,1,0,0,100,0,1
Central Shenandoah,3/11/2020,1,0,0,100,0,1
Chesapeake,3/11/2020,3,0,0,100,0,3
Chesterfield,3/11/2020,2,0,0,100,0,2
Crater,3/11/2020,1,0,0,100,0,1
Fairfax,3/11/2020,2,1,50,100,1,2
Henrico,3/11/2020,3,0,0,100,0,3
Loudoun,3/11/2020,1,0,0,100,0,1
New River,3/11/2020,1,0,0,100,0,1
Norfolk,3/11/2020,5,0,0,100,0,5
Pittsylvania-Danville,3/11/2020,1,0,0,100,0,1
Portsmouth,3/11/2020,4,0,0,100,0,4
Prince William,3/11/2020,1,1,100,100,1,1
Rappahannock,3/11/2020,3,0,0,100,0,3
Rappahannock Rapidan,3/11/2020,1,0,0,100,0,1
Richmond,3/11/2020,1,0,0,100,0,1
Thomas Jefferson,3/11/2020,1,0,0,100,0,1
Unknown,3/11/2020,1,0,0,100,0,1
Virginia Beach,3/11/2020,1,0,0,100,0,1
Alexandria,3/12/2020,2,0,0,100,0,2
Arlington,3/12/2020,12,0,0,100,0,12
Central Shenandoah,3/12/2020,2,0,0,100,0,2
Chesapeake,3/12/2020,4,0,0,100,0,4
Chesterfield,3/12/2020,3,0,0,100,0,3
Chickahominy,3/12/2020,2,0,0,100,0,2
Crater,3/12/2020,1,0,0,100,0,1
Eastern Shore,3/12/2020,2,0,0,100,0,2
Fairfax,3/12/2020,11,0,0,100,0,11
Henrico,3/12/2020,3,0,0,100,0,3
Lord Fairfax,3/12/2020,1,0,0,100,0,1
Loudoun,3/12/2020,1,0,0,100,0,1
Norfolk,3/12/2020,8,0,0,100,0,8
Out of State,3/12/2020,2,0,0,100,0,2
Peninsula,3/12/2020,1,0,0,100,0,1
Pittsylvania-Danville,3/12/2020,1,0,0,100,0,1
Prince William,3/12/2020,8,0,0,100,0,8
Rappahannock,3/12/2020,5,0,0,100,0,5
Rappahannock Rapidan,3/12/2020,2,0,0,100,0,2
Richmond,3/12/2020,1,0,0,100,0,1
Thomas Jefferson,3/12/2020,7,0,0,100,0,7
Unknown,3/12/2020,1,0,0,100,0,1
Virginia Beach,3/12/2020,5,0,0,100,0,5
Alexandria,3/13/2020,2,0,0,100,0,2
Arlington,3/13/2020,3,1,33.333333333,100,1,3
Central Shenandoah,3/13/2020,1,1,100,100,1,1
Chesapeake,3/13/2020,1,0,0,100,0,1
Fairfax,3/13/2020,11,0,0,100,0,11
Lenowisco,3/13/2020,1,0,0,100,0,1
Lord Fairfax,3/13/2020,2,0,0,100,0,2
Loudoun,3/13/2020,3,1,33.333333333,100,1,3
New River,3/13/2020,1,0,0,100,0,1
Norfolk,3/13/2020,6,0,0,100,0,6
Peninsula,3/13/2020,1,0,0,100,0,1
Pittsylvania-Danville,3/13/2020,1,0,0,100,0,1
Portsmouth,3/13/2020,20,0,0,100,0,20
Prince William,3/13/2020,11,0,0,100,0,11
Rappahannock,3/13/2020,2,0,0,100,0,2
Roanoke,3/13/2020,1,0,0,100,0,1
Southside,3/13/2020,2,0,0,100,0,2
Thomas Jefferson,3/13/2020,6,0,0,100,0,6
Unknown,3/13/2020,1,0,0,100,0,1
West Piedmont,3/13/2020,2,0,0,100,0,2
Western Tidewater,3/13/2020,1,0,0,100,0,1
Alexandria,3/14/2020,8,0,0,100,0,8
Arlington,3/14/2020,3,1,33.333333333,100,1,3
Chesapeake,3/14/2020,3,0,0,100,0,3
Chesterfield,3/14/2020,3,0,0,100,0,3
Chickahominy,3/14/2020,3,0,0,100,0,3
Fairfax,3/14/2020,8,0,0,100,0,8
Hampton,3/14/2020,2,0,0,100,0,2
Henrico,3/14/2020,2,0,0,100,0,2
Loudoun,3/14/2020,4,0,0,100,0,4
Norfolk,3/14/2020,6,0,0,100,0,6
Peninsula,3/14/2020,2,0,0,100,0,2
Prince William,3/14/2020,3,1,33.333333333,100,1,3
Rappahannock,3/14/2020,3,0,0,100,0,3
Rappahannock Rapidan,3/14/2020,1,0,0,100,0,1
Richmond,3/14/2020,1,0,0,100,0,1
Roanoke,3/14/2020,1,0,0,100,0,1
Thomas Jefferson,3/14/2020,3,0,0,100,0,3
Three Rivers,3/14/2020,2,0,0,100,0,2
Virginia Beach,3/14/2020,1,0,0,100,0,1
Alexandria,3/15/2020,2,0,0,100,0,2
Arlington,3/15/2020,7,0,0,100,0,7
Crater,3/15/2020,1,0,0,100,0,1
Cumberland Plateau,3/15/2020,1,0,0,100,0,1
Fairfax,3/15/2020,22,0,0,100,0,22
Henrico,3/15/2020,1,0,0,100,0,1
Lord Fairfax,3/15/2020,1,0,0,100,0,1
Loudoun,3/15/2020,4,0,0,100,0,4
New River,3/15/2020,1,0,0,100,0,1
Out of State,3/15/2020,1,1,100,100,1,1
Peninsula,3/15/2020,3,2,66.666666667,100,2,3
Pittsylvania-Danville,3/15/2020,1,0,0,100,0,1
Prince William,3/15/2020,16,1,6.25,100,1,16
Rappahannock,3/15/2020,6,1,16.666666667,100,1,6
Richmond,3/15/2020,2,1,50,100,1,2
Roanoke,3/15/2020,4,0,0,100,0,4
Southside,3/15/2020,2,0,0,100,0,2
Thomas Jefferson,3/15/2020,11,0,0,100,0,11
Virginia Beach,3/15/2020,1,1,100,100,1,1
West Piedmont,3/15/2020,1,0,0,100,0,1
Alexandria,3/16/2020,7,1,14.285714286,100,1,7
Arlington,3/16/2020,15,1,6.666666667,100,1,15
Central Shenandoah,3/16/2020,4,0,0,100,0,4
Central Virginia,3/16/2020,1,0,0,100,0,1
Chesapeake,3/16/2020,8,0,0,100,0,8
Chesterfield,3/16/2020,17,1,5.882352941,100,1,17
Chickahominy,3/16/2020,8,1,12.5,100,1,8
Crater,3/16/2020,3,0,0,100,0,3
Cumberland Plateau,3/16/2020,1,0,0,100,0,1
Eastern Shore,3/16/2020,1,0,0,100,0,1
Fairfax,3/16/2020,47,2,4.255319149,100,2,47
Hampton,3/16/2020,2,0,0,100,0,2
Henrico,3/16/2020,20,1,5,100,1,20
Lord Fairfax,3/16/2020,1,0,0,100,0,1
Loudoun,3/16/2020,6,2,33.333333333,100,2,6
Mount Rogers,3/16/2020,2,0,0,100,0,2
New River,3/16/2020,3,0,0,100,0,3
Norfolk,3/16/2020,27,0,0,100,0,27
